"location","population","highest_infection_count","percent_population_infected"
Niue,1614,0,0.0000
Northern Cyprus,0,0,0.0000
Pitcairn,47,0,0.0000
Saint Helena,6095,0,0.0000
Samoa,200144,3,0.0000
Sint Maarten (Dutch part),43421,0,0.0000
Solomon Islands,703995,20,0.0000
Tanzania,61498438,1367,0.0000
Tokelau,1368,0,0.0000
Tonga,106759,0,0.0000
Turkmenistan,6117933,0,0.0000
Turks and Caicos Islands,39226,0,0.0000
Tuvalu,11925,0,0.0000
Vanuatu,314464,4,0.0000
Wallis and Futuna,11094,0,0.0000
